applied,original,title,company,summary,link
,1,Software Engineer,Onco360,"Software Engineer Major Responsibilities:. Summary - This Software Engineer is responsible for analysis, design development, implementation, quality and...",https://www.indeed.com/rc/clk?jk=4a4bf34f27701090&from=vj&pos=top&spon=1
,0,.NET Software Engineer,Prosoft,".NET Software Engineer. Prosoft is seeking qualified .Net Software Engineers for our client in Louisville, Kentucky....",https://www.indeed.com//rc/clk?jk=347c46486a6da531&fccid=f48b435782b83f61&vjs=3
,1,Stream Restoration Professionals,Stantec,"Skill in a variety of software applications. For Engineers, ability to obtain Professional Licensure (P.E.). Rosgen training and familiarity with the RIVERMorph...",https://www.indeed.com/rc/clk?jk=046e71adf69cd005&from=vj&pos=top
,1,Software Quality Engineer,Homecare Homebase,"Ensures that project work requests meet company guidelines, regulatory expectations, and product delivered meets specifications provided....",https://www.indeed.com/rc/clk?jk=7791e931ce94acef&from=vj&pos=top
,1,"Software Engineer- Java, TwinSpires.com",TwinSpires.com,"Java, Java Spring, Spring Boot MySQL, AWS Aurora, Git Repository. The Software Engineer will work as a part of a larger team to design and develop custom Java...",https://www.indeed.com/rc/clk?jk=0837ee7a34bab914&from=vj&pos=top
,0,Software Developer (ERP & Applications),Zoeller Pump Company,Zoeller Company is seeking an experienced Software Developer to support and develop business software at its corporate headquarters and manufacturing site in...,https://www.indeed.com//company/Zoeller-Pump-Company/jobs/Software-Developer-07721fba0566cb72?fccid=1c87405ce26797cc&vjs=3
,0,Survey Analyst,Humana,"ESS Analytics is an Enterprise Shared Services team focused on reporting and analytics. Prior demonstrated with statistical software such as Tableau, R, or...",https://www.indeed.com//rc/clk?jk=a52125c332d33998&fccid=5f1f0e6dcc6cbc83&vjs=3
,1,Software Engineer,f5,F5 engineers work closely on the delivery of loosely coupled software components and microservices integrated in public and private cloud architecture....,https://www.indeed.com/rc/clk?jk=9e12b735d7e737f4&from=vj&pos=top
,1,Quality Assurance Engineer,Prosoft,"Quality Assurance Engineer. Prosoft is seeking qualified candidates for a Quality Assurance Engineer position with our client in Louisville, Kentucky....",https://www.indeed.com/rc/clk?jk=2d6dc8c8b4eccc6c&from=vj&pos=top
,0,Senior Software Engineer,TechStyle Fashion Group,Is seeking a seasoned and innovative Senior Software Engineer. 5+ years professional software development experience....,https://www.indeed.com//company/TechStyle-Fashion-Group/jobs/Senior-Software-Engineer-bd0bc8a31f033d95?fccid=ea70eac78914b397&vjs=3
,0,Software Developer (Web),Zoeller Pump Company,5 years of experience employed as a full-time software developer creating Web Application using Microsoft Technologies.\_\_....,https://www.indeed.com//company/Zoeller-Pump-Company/jobs/Software-Developer-34a63a038995d905?fccid=1c87405ce26797cc&vjs=3
,0,Engineer with Electrical/ Software Design Experience (Retirees Welcome),"Amatrol, Inc.",Requirements for an electrical/ software design engineer:. Essential functions of an electrical/ software design engineer:....,https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0Ay_q9DD4FB4nia6GLBcjEGsWsq1nk6jPcPcu5LlJ-T_G7SQEg3mwVpPpAM5icNOvFsxqICxEAUl520ejnKn9wugMTskMhjSzTrUL457Ippq3k_w49dT2HSgTS4xbnZLefh6T4IfWgp4kASWEeTboQTF6ycB-WhHJoRdBi9EDHxrIrAcOPK6i5has9F4BPc8K5T2qRSOVVGyFuZF1Qvin9jDZXdw6UU9By_QouMtvIQNK_c2ILlhc6C5JQ2ZKSs1FC8HXqp2cg8KB4Jig2aTXFjgmDX8dxoIJYmIkfUrUTjPRbQyUd2Bs94erCH3uLIpAPSb6005bBRBz4qOEKW8NuZvEJ2fQG2AtA6h6pRU8PHBeWKodzXrrilKdvmI7Qn4Dyt5Zs1v7H16JIYL8CHyeOtOvZEbEhfyCqPGoS6sqbqCgg7eqsv0cwImG0GyGfbFGlQLV_JoRp-QvZwR-PUUBjs26gqYdyT9md8PYH3Pgu-WlfKuCuIbPnd9WYnj0Cv55AA8xSxZMrHdg==&vjs=3&p=5&sk=&fvj=1
,0,Senior Network Engineer,Confidential-Information Technology,"They are responsible for monitoring the network firewall, assessing the functionality of the network routers, ensuring all Internet security software is updated...",https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0CP4ZTk6M0Ky6QsCxMFBpDWpqyxMvR2WBoveUsuy6Q691bv_ONBRhCGpVe25sdIf6xZeIby-RVJz8jQ6VX1lIFvz21PjjJSklX3hm87uoPeoSsZozMExMDMDfoDykBo6rH9ktyl9VMmZcqmEj399EiTxPJ6kFVJW2NFo5RRkG2KH4d9mA2papSMfanm2Qv621Jk2LhRMnNdCmC-wSTpc-G9IzD3olm6MPcGz4DrX95SSYDB2d05ekRtwp9glIQvifPrTA69DaqrWaqNvXlShwyq1hWWEfvGCBRlHxrqnpIWIRGf9wBXOxGusVyAAIY5Nq08rg-FDVZPdq1uL381fabGTBpNsuTZ2eSIa6XllMjqZoUND9pur4lqCk0WUwQFRoM50on0QDAQrvNCJaGdaS6t39TbHPTbcuBINrWBd1P4LJw5pE-UxkMEcoif8-cbibMqWKGAoMv10A==&vjs=3&p=6&sk=&fvj=1
,0,Software Developer (Web),Zoeller Pump Company,5 years of experience employed as a full-time software developer creating Web Application using Microsoft Technologies.\_\_....,https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DFunX5Qk9y2PK_Eilmstr8TalJMuo79S2qpgQfIo2sZIkK_Ntel4-8cYciRsloT2dZiIQphTrf2vpQqOwDL9tQiJn9smFGuvtywvMKQldfEa2L4_rwagL2I4yJEii55ff4bj38Y2bkj1qMIjesfIc9JaF7mUJ6CHLxfKXv-t9e6-lIl-LJukfz7P3ET6S89rsLlskU3gjJKKqEC474jbfl-miJKAoUTXlJqq0kZodHf-AFttHoxczer8D7doRpPOMo6X9Mab4AtHgJ7_IW-kzLACIx-jrxVx0drL_W5LQBJZTVZOuLOz6n2OjVM2A3kAheibv7ggWZSKylS-fw09uS2UaOPHJlT7TFs744XrjxORUk_h4LruUu1E4U6nsa13JfoEDSSnWjzoHNL2ZjNBeYpTd0XoZB9jywsSYqcnHukf_RPN91BqY6ATHy5xC5r752L4cmNWZvNQ==&vjs=3&p=7&sk=&fvj=1
,0,Programmer Analyst,Derby Supply Chain Solutions,The qualified candidate will have strong application development experience using Microsoft Visual Studio .Net in either Visual Basic or C#....,https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DtgzQGvBbP_9ZAUBBkxRRhIS4Pd3g5fpvhbtnLjWeLaLss_5PhFkIaoRhiVV8Yfn5MiWKFRlsjIoN_Tk9P3-iCbDlWBytkrq14EUIXeb0hL1onBo8gs4WbN3wmqCmZAetISgjFBVdFx56WC4LPOHXzaokxvijE475JoiTwlqkOAxG0Vm1zH9MjZEeDRjlM9cTVoK2KNKNzD52V7dqnlD7anoX8eFJNbclFSD6gAmfuMDwdEQf-7nvauf8LNRMXGSE5xqpGLLv6cIVxWpUyitYJ-Xxz9CNhQ2iSdyGs5wTivdmA9MF5W-wxojwT8isTUxI5ckBXuN2Hbho_qbvRrDyGOtKeGNI2TiXsZNPc2K9qoP_tBJaR1iOXD_NrRFTcfALDq2JuKSSpbbX1eoLBEYn-RRPU5ub1C8krWpIWtr-moI5VZ7VVOFBIkz9cgOKuM5ibGG8ZLA3AKQ==&vjs=3&p=1&sk=&fvj=1
